Date,Step Count,Active Hours,Steps Per Minute
2025-03-18,0,6,0.0
2025-03-18,0,6,0.0
2025-04-25,1203,6,0.0
2025-04-25,1203,6,0.0
2025-04-25,1203,6,0.0
2025-04-25,1203,6,0.0
2025-04-25,1203,6,0.0
2025-04-25,1203,6,0.0
2025-04-25,1203,6,0.0
2025-04-25,1203,6,0.0
2025-04-25,1203,6,0.0
2025-04-25,1203,6,0.0
2025-04-25,1203,6,0.0
2025-04-25,1203,6,0.0
2025-04-25,1203,6,0.0
2025-04-25,1203,6,0.0
2025-04-25,1203,6,0.0
2025-04-25,1203,6,0.0
2025-04-27,1203,6,0.0
2025-04-28,1203,6,0.0
2025-04-28,1203,6,0.0
